"id";"Pais";"Localidad";"Denominación Genérica";"Denominación Específica";"Código";"Naturaleza";"Tipo"
23204;"ESPAÑA";"Monte Lentiscal";"Centro Privado de Educación Infantil";"LOS PISPITOS";35009486;"Centro privado";2
23205;"ESPAÑA";"Tamaraceite";"Colegio Público";"HOYA ANDREA";35009541;"Centro público";0
23206;"ESPAÑA";"Villa de Moya";"Instituto de Educación Secundaria (IES)";"DORAMAS";35009565;"Centro público";0
23207;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"EL RINCÓN";35009577;"Centro público";0
23208;"ESPAÑA";"La Lechucilla";"Instituto de Educación Secundaria (IES)";"VEGA DE SAN MATEO";35009589;"Centro público";0
23209;"ESPAÑA";"Marzagan";"Colegio Público";"NÉSTOR ÁLAMO";35009590;"Centro público";0
23210;"ESPAÑA";"Morro Jable";"Colegio Público";"EL CIERVO";35009607;"Centro público";0
23211;"ESPAÑA";"Arucas";"Centro Público de Educación de Personas Adultas (Presencial)";"ARUCAS Y FIRGAS FERNANDO MARRERO PULIDO";35009619;"Centro público";0
23212;"ESPAÑA";"Arguineguin";"Centro Público de Educación de Personas Adultas (Presencial)";"MOGÁN";35009620;"Centro público";0
23213;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Público de Educación de Personas Adultas (Presencial)";"LAS PALMAS-CIUDAD ALTA";35009632;"Centro público";0
23214;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Público de Educación de Personas Adultas (Presencial)";"LAS PALMAS-CONO SUR";35009644;"Centro público";0
23215;"ESPAÑA";"San Fernando";"Centro Público de Educación de Personas Adultas (Presencial)";"SAN BARTOLOMÉ DE TIRAJANA";35009656;"Centro público";0
23216;"ESPAÑA";"Santa Brigida";"Centro Público de Educación de Personas Adultas (Presencial)";"SANTA BRÍGIDA";35009668;"Centro público";0
23217;"ESPAÑA";"Valle de Jinamar";"Centro Público de Educación de Personas Adultas (Presencial)";"TELDE-JINÁMAR";35009671;"Centro público";0
23218;"ESPAÑA";"Lomo de la Herradura";"Centro Público de Educación de Personas Adultas (Presencial)";"TELDE-LA HERRADURA";35009681;"Centro público";0
23219;"ESPAÑA";"Teror";"Centro Público de Educación de Personas Adultas (Presencial)";"TEROR";35009693;"Centro público";0
23220;"ESPAÑA";"Valsequillo";"Centro Público de Educación de Personas Adultas (Presencial)";"VALSEQUILLO";35009701;"Centro público";0
23221;"ESPAÑA";"Tamaraceite";"Instituto de Educación Secundaria (IES)";"CAIRASCO DE FIGUEROA";35009711;"Centro público";0
23222;"ESPAÑA";"Arrecife";"Escuela Oficial de Idiomas (EOI)";"ARRECIFE";35009723;"Centro público";0
23223;"ESPAÑA";"El Tablero";"Escuela Oficial de Idiomas (EOI)";"MASPALOMAS";35009735;"Centro público";0
23224;"ESPAÑA";"Maspalomas";"Centro Privado con varias Enseñanzas de Régimen General";"ALMA¿S";35009747;"Centro privado";1
23225;"ESPAÑA";"Arucas";"Escuela Oficial de Idiomas (EOI)";"ARUCAS";35009772;"Centro público";0
23226;"ESPAÑA";"Ingenio";"Escuela Oficial de Idiomas (EOI)";"INGENIO";35009784;"Centro público";0
23227;"ESPAÑA";"Santa Brigida";"Escuela Oficial de Idiomas (EOI)";"SANTA BRÍGIDA";35009796;"Centro público";0
23228;"ESPAÑA";"Santa Maria de Guia";"Escuela Oficial de Idiomas (EOI)";"SANTA MARÍA DE GUÍA";35009802;"Centro público";0
23229;"ESPAÑA";"Vecindario";"Escuela Oficial de Idiomas (EOI)";"SANTA LUCÍA";35009814;"Centro público";0
23230;"ESPAÑA";"Telde";"Escuela Oficial de Idiomas (EOI)";"TELDE";35009826;"Centro público";0
23231;"ESPAÑA";"Villa de Teguise";"Instituto de Educación Secundaria (IES)";"TEGUISE";35009838;"Centro público";0
23232;"ESPAÑA";"Valsequillo";"Instituto de Educación Secundaria (IES)";"VALSEQUILLO";35009841;"Centro público";0
23233;"ESPAÑA";"Las Huesas";"Instituto de Educación Secundaria (IES)";"LAS HUESAS";35009851;"Centro público";0
23234;"ESPAÑA";"Agaete";"Instituto de Educación Secundaria (IES)";"AGAETE";35009863;"Centro público";0
23235;"ESPAÑA";"San Nicolas de Tolentino";"Instituto de Educación Secundaria (IES)";"LA ALDEA DE SAN NICOLÁS";35009875;"Centro público";0
23236;"ESPAÑA";"Gran Tarajal";"Instituto de Educación Secundaria (IES)";"GRAN TARAJAL";35009887;"Centro público";0
23237;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"NUEVA ISLETA TONY GALLARDO";35009899;"Centro público";0
23238;"ESPAÑA";"Las Palmas de Gran Canaria";"Colegio Público";"ALCARAVANERAS";35009905;"Centro público";0
23239;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Privado de Música o Danza";"ISAAC ALBÉNIZ";35009929;"Centro privado";2
23240;"ESPAÑA";"Arucas";"Escuela Pública de Música y/o Danza";"ARUCAS";35009930;"Centro público";0
23241;"ESPAÑA";"Maspalomas";"Escuela Pública de Música y/o Danza";"SAN BARTOLOMÉ DE TIRAJANA";35009942;"Centro público";0
23242;"ESPAÑA";"Santa Brigida";"Escuela Pública de Música y/o Danza";"SANTA BRÍGIDA";35009954;"Centro público";0
23243;"ESPAÑA";"Santa Lucia";"Escuela Pública de Música y/o Danza";"SANTA LUCÍA DE TIRAJANA";35009966;"Centro público";0
23244;"ESPAÑA";"Cambalud";"Centro Privado con varias Enseñanzas de Régimen General";"ANITA CONRAD";35009981;"Centro privado";1
23245;"ESPAÑA";"Ingenio";"Escuela Pública de Música y/o Danza";"INGENIO";35009991;"Centro público";0
23246;"ESPAÑA";"La Garita";"Colegio Público";"LA GARITA";35010002;"Centro público";0
23247;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Docente Privado Extranjero en España";"OAKLEY COLLEGE";35010014;"Centro privado";2
23248;"ESPAÑA";"San Nicolas de Tolentino";"Centro Público de Educación de Personas Adultas (Presencial)";"LA ALDEA";35010026;"Centro público";0
23249;"ESPAÑA";"San Agustin";"Centro Docente Privado Extranjero en España";"COLEGIO SUECO SVENSKA SKOLAN";35010038;"Centro privado";2
23250;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Privado con varias Enseñanzas de Régimen General";"HISPANO INGLÉS";35010041;"Centro privado";1
23251;"ESPAÑA";"Arrecife";"Conservatorio de Música o Danza";"LANZAROTE";35010063;"Centro público";0
23252;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Privado de Educación Infantil";"ANITA CONRAD";35010075;"Centro privado";2
23253;"ESPAÑA";"Galdar";"Escuela Pública de Música y/o Danza";"PEDRO ESPINOSA";35010087;"Centro público";0
23254;"ESPAÑA";"Telde";"Escuela Pública de Música y/o Danza";"TELDE";35010099;"Centro público";0
23255;"ESPAÑA";"Arguineguin";"Instituto de Educación Secundaria (IES)";"ARGUINEGUÍN";35010105;"Centro público";0
23256;"ESPAÑA";"El Tablero";"Centro Docente Privado Extranjero en España";"ENGLISH SCHOOL OF GRAN CANARIA";35010117;"Centro privado";2
23257;"ESPAÑA";"Santa Brigida";"Instituto de Educación Secundaria (IES)";"SANTA BRÍGIDA";35010129;"Centro público";0
23258;"ESPAÑA";"Cruce de Sardina";"Instituto de Educación Secundaria (IES)";"GRAN CANARIA";35010130;"Centro público";0
23259;"ESPAÑA";"Valle de Jinamar";"Instituto de Educación Secundaria (IES)";"LILA";35010142;"Centro público";0
23260;"ESPAÑA";"Lomo de la Herradura";"Instituto de Educación Secundaria (IES)";"LOMO DE LA HERRADURA";35010154;"Centro público";0
23261;"ESPAÑA";"Las Palmas de Gran Canaria";"Centro Privado Superior de Arte Dramático";"ESCUELA DE ACTORES DE CANARIAS (SEDE GRAN CANARIA)";35010166;"Centro privado";2
23262;"ESPAÑA";"Las Palmas de Gran Canaria";"Colegio Público";"SIETE PALMAS";35010178;"Centro público";0
